Delayed,CARRIER,DAY_OF_WEEK,DEP_TIME,DEST,ORIGIN,Weather,Origin_BWI
0,OH,4,1455,JFK,BWI,0,
0,DH,4,1640,JFK,DCA,0,
0,DH,4,1245,LGA,IAD,0,
0,DH,4,1709,LGA,IAD,0,
0,DH,4,1035,LGA,IAD,0,
0,DH,4,839,JFK,IAD,0,
0,DH,4,1243,JFK,IAD,0,
0,DH,4,1644,JFK,IAD,0,
0,DH,4,1710,JFK,IAD,0,
0,DH,4,2129,JFK,IAD,0,
0,DH,4,2114,LGA,IAD,0,
0,DL,4,1458,JFK,DCA,0,
0,DL,4,932,LGA,DCA,0,
0,DL,4,1228,LGA,DCA,0,
0,DL,4,1429,LGA,DCA,0,
0,DL,4,1728,LGA,DCA,0,
0,DL,4,2029,LGA,DCA,0,
0,MQ,4,1525,JFK,DCA,0,
0,MQ,4,556,JFK,DCA,0,
0,MQ,4,1822,JFK,DCA,0,
0,MQ,4,853,LGA,DCA,0,
0,MQ,4,1254,LGA,DCA,0,
0,MQ,4,1356,LGA,DCA,0,
0,MQ,4,1452,LGA,DCA,0,
0,MQ,4,1853,LGA,DCA,0,
0,UA,4,841,LGA,IAD,0,
0,US,4,858,LGA,DCA,0,
0,US,4,1056,LGA,DCA,0,
0,US,4,1253,LGA,DCA,0,
0,US,4,1458,LGA,DCA,0,
0,US,4,1655,LGA,DCA,0,
0,US,4,2055,LGA,DCA,0,
0,RU,4,1452,EWR,BWI,0,
0,RU,4,1710,EWR,BWI,0,
0,RU,4,1030,EWR,BWI,0,
0,RU,4,656,EWR,BWI,0,
0,CO,4,1256,EWR,DCA,0,
0,CO,4,1726,EWR,DCA,0,
0,DH,4,840,EWR,IAD,0,
0,DH,4,1704,EWR,IAD,0,
0,DH,4,1245,EWR,IAD,0,
0,DH,4,2118,EWR,IAD,0,
0,RU,4,1651,EWR,IAD,0,
0,RU,4,1850,EWR,IAD,0,
0,RU,4,1521,EWR,DCA,0,
0,RU,4,1855,EWR,DCA,0,
0,RU,4,1357,EWR,DCA,0,
0,RU,4,1508,EWR,IAD,0,
0,RU,4,1255,EWR,IAD,0,
0,RU,4,1625,EWR,DCA,0,
0,OH,5,1455,JFK,BWI,0,
0,DH,5,1641,JFK,DCA,0,
0,DH,5,1249,LGA,IAD,0,
1,DH,5,1531,LGA,IAD,0,
0,DH,5,1712,LGA,IAD,0,
0,DH,5,645,LGA,IAD,0,
1,DH,5,1236,LGA,IAD,0,
0,DH,5,859,JFK,IAD,0,
0,DH,5,1232,JFK,IAD,0,
0,DH,5,1455,JFK,IAD,0,
0,DH,5,1645,JFK,IAD,0,
0,DH,5,1716,JFK,IAD,0,
1,DH,5,2305,JFK,IAD,0,
0,DH,5,1605,JFK,IAD,0,
0,DH,5,2118,LGA,IAD,0,
0,DL,5,1458,JFK,DCA,0,
0,DL,5,930,LGA,DCA,0,
0,DL,5,1230,LGA,DCA,0,
0,DL,5,1427,LGA,DCA,0,
0,DL,5,1730,LGA,DCA,0,
0,DL,5,2028,LGA,DCA,0,
0,MQ,5,1522,JFK,DCA,0,
0,MQ,5,552,JFK,DCA,0,
0,MQ,5,1847,JFK,DCA,0,
0,MQ,5,852,LGA,DCA,0,
0,MQ,5,1053,LGA,DCA,0,
0,MQ,5,1258,LGA,DCA,0,
0,MQ,5,1402,LGA,DCA,0,
0,MQ,5,1456,LGA,DCA,0,
0,UA,5,850,LGA,IAD,0,
0,US,5,657,LGA,DCA,0,
0,US,5,857,LGA,DCA,0,
0,US,5,1058,LGA,DCA,0,
0,US,5,1258,LGA,DCA,0,
0,US,5,1458,LGA,DCA,0,
0,US,5,1655,LGA,DCA,0,
0,US,5,1855,LGA,DCA,0,
0,US,5,2056,LGA,DCA,0,
0,RU,5,1715,EWR,BWI,0,
0,RU,5,1030,EWR,BWI,0,
0,RU,5,656,EWR,BWI,0,
0,RU,5,1456,EWR,BWI,0,
0,CO,5,1727,EWR,DCA,0,
0,CO,5,1301,EWR,DCA,0,
0,CO,5,754,EWR,DCA,0,
0,DH,5,837,EWR,IAD,0,
1,DH,5,1350,EWR,IAD,0,
1,DH,5,1512,EWR,IAD,0,
0,DH,5,629,EWR,IAD,0,
0,RU,5,1625,EWR,DCA,0,
0,RU,5,655,EWR,IAD,0,
0,RU,5,858,EWR,DCA,0,
0,RU,5,657,EWR,DCA,0,
0,RU,5,1650,EWR,IAD,0,
0,RU,5,1856,EWR,IAD,0,
0,RU,5,1253,EWR,IAD,0,
0,RU,5,854,EWR,IAD,0,
0,RU,5,1858,EWR,DCA,0,
0,RU,5,2050,EWR,DCA,0,
0,RU,5,1358,EWR,DCA,0,
1,RU,5,1510,EWR,IAD,0,
0,RU,5,1519,EWR,DCA,0,
0,DH,6,1243,LGA,IAD,0,
0,DH,6,1738,LGA,IAD,0,
0,DH,6,640,LGA,IAD,0,
0,DH,6,1030,LGA,IAD,0,
0,DH,6,855,JFK,IAD,0,
0,DH,6,1237,JFK,IAD,0,
0,DH,6,1455,JFK,IAD,0,
0,DH,6,1654,JFK,IAD,0,
0,DH,6,1741,JFK,IAD,0,
1,DH,6,2213,JFK,IAD,0,
0,DH,6,1604,JFK,IAD,0,
0,DH,6,2138,LGA,IAD,0,
1,DL,6,1505,JFK,DCA,0,
0,DL,6,828,LGA,DCA,0,
0,DL,6,1030,LGA,DCA,0,
0,DL,6,1230,LGA,DCA,0,
0,DL,6,1428,LGA,DCA,0,
0,DL,6,1629,LGA,DCA,0,
0,DL,6,1829,LGA,DCA,0,
0,DL,6,2024,LGA,DCA,0,
1,MQ,6,1600,JFK,DCA,0,
0,MQ,6,555,JFK,DCA,0,
0,MQ,6,1829,JFK,DCA,0,
0,MQ,6,855,LGA,DCA,0,
0,MQ,6,1254,LGA,DCA,0,
0,UA,6,849,LGA,IAD,0,
0,US,6,655,LGA,DCA,0,
0,US,6,858,LGA,DCA,0,
0,US,6,1059,LGA,DCA,0,
0,US,6,1256,LGA,DCA,0,
0,US,6,1500,LGA,DCA,0,
0,US,6,1658,LGA,DCA,0,
0,US,6,1857,LGA,DCA,0,
0,RU,6,1714,EWR,BWI,0,
0,RU,6,655,EWR,BWI,0,
0,RU,6,1026,EWR,BWI,0,
0,RU,6,1448,EWR,BWI,0,
0,CO,6,1255,EWR,DCA,0,
1,DH,6,857,EWR,IAD,0,
0,DH,6,1705,EWR,IAD,0,
1,DH,6,1329,EWR,IAD,0,
0,DH,6,2126,EWR,IAD,0,
0,DH,6,625,EWR,IAD,0,
0,RU,6,1722,EWR,IAD,0,
0,RU,6,1356,EWR,DCA,0,
0,RU,6,658,EWR,IAD,0,
0,RU,6,941,EWR,DCA,0,
0,RU,6,1738,EWR,DCA,0,
0,RU,6,1556,EWR,DCA,0,
0,RU,6,1511,EWR,IAD,0,
0,RU,6,703,EWR,DCA,0,
1,OH,7,1605,JFK,BWI,0,
0,DH,7,1644,JFK,DCA,0,
0,DH,7,1249,LGA,IAD,0,
1,DH,7,1535,LGA,IAD,0,
1,DH,7,1837,LGA,IAD,0,
0,DH,7,640,LGA,IAD,0,
0,DH,7,1032,LGA,IAD,0,
0,DH,7,900,JFK,IAD,0,
0,DH,7,1243,JFK,IAD,0,
0,DH,7,1504,JFK,IAD,0,
0,DH,7,1642,JFK,IAD,0,
0,DH,7,1709,JFK,IAD,0,
0,DH,7,2120,JFK,IAD,0,
0,DH,7,1607,JFK,IAD,0,
0,DH,7,2116,LGA,IAD,0,
0,DL,7,1500,JFK,DCA,0,
0,DL,7,828,LGA,DCA,0,
0,DL,7,1028,LGA,DCA,0,
0,DL,7,1230,LGA,DCA,0,
0,DL,7,1432,LGA,DCA,0,
0,DL,7,1629,LGA,DCA,0,
0,DL,7,1832,LGA,DCA,0,
0,DL,7,2030,LGA,DCA,0,
1,MQ,7,1534,JFK,DCA,0,
0,MQ,7,554,JFK,DCA,0,
0,MQ,7,745,JFK,DCA,0,
1,MQ,7,1858,JFK,DCA,0,
0,MQ,7,1257,LGA,DCA,0,
1,MQ,7,1458,LGA,DCA,0,
0,MQ,7,1659,LGA,DCA,0,
1,MQ,7,1936,LGA,DCA,0,
0,UA,7,849,LGA,IAD,0,
0,US,7,858,LGA,DCA,0,
0,US,7,954,LGA,DCA,0,
0,US,7,1055,LGA,DCA,0,
0,US,7,1158,LGA,DCA,0,
0,US,7,1257,LGA,DCA,0,
0,US,7,1359,LGA,DCA,0,
0,US,7,1456,LGA,DCA,0,
0,US,7,1559,LGA,DCA,0,
0,US,7,1658,LGA,DCA,0,
0,US,7,1758,LGA,DCA,0,
0,US,7,1857,LGA,DCA,0,
0,US,7,1957,LGA,DCA,0,
0,US,7,2059,LGA,DCA,0,
1,RU,7,1615,EWR,BWI,0,
1,RU,7,1416,EWR,BWI,0,
1,RU,7,2030,EWR,BWI,0,
1,RU,7,1235,EWR,BWI,0,
0,CO,7,1255,EWR,DCA,0,
1,CO,7,1833,EWR,DCA,0,
0,DH,7,857,EWR,IAD,0,
1,DH,7,1917,EWR,IAD,0,
1,DH,7,1310,EWR,IAD,0,
1,DH,7,2221,EWR,IAD,0,
1,DH,7,1600,EWR,IAD,0,
1,RU,7,1952,EWR,DCA,0,
0,RU,7,927,EWR,DCA,0,
0,RU,7,858,EWR,IAD,0,
1,RU,7,2110,EWR,IAD,0,
1,RU,7,1356,EWR,DCA,0,
1,RU,7,2120,EWR,DCA,0,
1,RU,7,1557,EWR,IAD,0,
1,OH,1,1610,JFK,BWI,0,
1,DH,1,1638,JFK,DCA,0,
1,DH,1,1338,LGA,IAD,0,
1,DH,1,1606,LGA,IAD,0,
1,DH,1,1848,LGA,IAD,0,
1,DH,1,633,LGA,IAD,0,
0,DH,1,1054,LGA,IAD,0,
1,DH,1,946,JFK,IAD,0,
1,DH,1,1312,JFK,IAD,0,
0,DH,1,1700,JFK,IAD,0,
0,DH,1,1709,JFK,IAD,0,
1,DH,1,2200,JFK,IAD,0,
1,DH,1,1651,JFK,IAD,0,
0,DH,1,2125,LGA,IAD,0,
0,DL,1,1459,JFK,DCA,0,
0,DL,1,630,LGA,DCA,0,
0,DL,1,734,LGA,DCA,0,
0,DL,1,830,LGA,DCA,0,
0,DL,1,932,LGA,DCA,0,
0,DL,1,1031,LGA,DCA,0,
0,DL,1,1128,LGA,DCA,0,
0,DL,1,1230,LGA,DCA,0,
0,DL,1,1329,LGA,DCA,0,
0,DL,1,1427,LGA,DCA,0,
0,DL,1,1635,LGA,DCA,0,
0,DL,1,1730,LGA,DCA,0,
0,DL,1,1829,LGA,DCA,0,
1,DL,1,1955,LGA,DCA,0,
0,DL,1,2028,LGA,DCA,0,
0,MQ,1,1538,JFK,DCA,0,
0,MQ,1,557,JFK,DCA,0,
0,MQ,1,656,LGA,DCA,0,
0,MQ,1,758,LGA,DCA,0,
0,MQ,1,859,LGA,DCA,0,
0,MQ,1,1103,LGA,DCA,0,
0,MQ,1,1250,LGA,DCA,0,
1,MQ,1,1627,LGA,DCA,0,
0,MQ,1,1702,LGA,DCA,0,
1,MQ,1,1949,LGA,DCA,0,
0,UA,1,848,LGA,IAD,0,
1,US,1,627,LGA,DCA,0,
0,US,1,657,LGA,DCA,0,
0,US,1,757,LGA,DCA,0,
0,US,1,900,LGA,DCA,0,
0,US,1,958,LGA,DCA,0,
0,US,1,1057,LGA,DCA,0,
0,US,1,1155,LGA,DCA,0,
0,US,1,1257,LGA,DCA,0,
0,US,1,1358,LGA,DCA,0,
0,US,1,1500,LGA,DCA,0,
0,US,1,1601,LGA,DCA,0,
0,US,1,1657,LGA,DCA,0,
0,US,1,1757,LGA,DCA,0,
0,US,1,1857,LGA,DCA,0,
0,US,1,1959,LGA,DCA,0,
0,US,1,2100,LGA,DCA,0,
1,RU,1,744,EWR,BWI,0,
1,RU,1,1527,EWR,BWI,0,
1,RU,1,1221,EWR,BWI,0,
1,CO,1,1324,EWR,DCA,0,
0,CO,1,757,EWR,DCA,0,
1,CO,1,1846,EWR,DCA,0,
0,DH,1,844,EWR,IAD,0,
1,DH,1,1920,EWR,IAD,0,
1,DH,1,1357,EWR,IAD,0,
1,DH,1,2312,EWR,IAD,0,
1,DH,1,1536,EWR,IAD,0,
0,DH,1,624,EWR,IAD,0,
0,RU,1,700,EWR,DCA,0,
1,RU,1,1056,EWR,DCA,0,
1,RU,1,1321,EWR,IAD,0,
0,RU,1,2105,EWR,DCA,0,
0,RU,1,655,EWR,IAD,0,
1,RU,1,1454,EWR,DCA,0,
1,RU,1,2104,EWR,DCA,0,
1,RU,1,1602,EWR,IAD,0,
0,RU,1,855,EWR,IAD,0,
1,RU,1,1617,EWR,DCA,0,
0,OH,2,1455,JFK,BWI,0,
0,DH,2,1240,LGA,IAD,0,
0,DH,2,1451,LGA,IAD,0,
0,DH,2,1752,LGA,IAD,0,
0,DH,2,635,LGA,IAD,0,
0,DH,2,1034,LGA,IAD,0,
0,DH,2,855,JFK,IAD,0,
0,DH,2,1237,JFK,IAD,0,
0,DH,2,1453,JFK,IAD,0,
0,DH,2,1641,JFK,IAD,0,
1,DH,2,1756,JFK,IAD,0,
1,DH,2,2153,JFK,IAD,0,
0,DH,2,1607,JFK,IAD,0,
0,DH,2,2118,LGA,IAD,0,
0,DL,2,1457,JFK,DCA,0,
0,DL,2,629,LGA,DCA,0,
0,DL,2,728,LGA,DCA,0,
0,DL,2,829,LGA,DCA,0,
0,DL,2,930,LGA,DCA,0,
0,DL,2,1030,LGA,DCA,0,
0,DL,2,1130,LGA,DCA,0,
0,DL,2,1230,LGA,DCA,0,
0,DL,2,1327,LGA,DCA,0,
0,DL,2,1428,LGA,DCA,0,
0,DL,2,1529,LGA,DCA,0,
0,DL,2,1629,LGA,DCA,0,
0,DL,2,1728,LGA,DCA,0,
0,DL,2,1830,LGA,DCA,0,
0,DL,2,1929,LGA,DCA,0,
0,DL,2,2031,LGA,DCA,0,
0,MQ,2,1548,JFK,DCA,0,
0,MQ,2,558,JFK,DCA,0,
0,MQ,2,1843,JFK,DCA,0,
0,MQ,2,655,LGA,DCA,0,
0,MQ,2,817,LGA,DCA,0,
0,MQ,2,852,LGA,DCA,0,
0,MQ,2,1100,LGA,DCA,0,
0,MQ,2,1313,LGA,DCA,0,
0,MQ,2,1355,LGA,DCA,0,
1,MQ,2,1535,LGA,DCA,0,
0,MQ,2,1555,LGA,DCA,0,
0,MQ,2,1654,LGA,DCA,0,
0,MQ,2,1904,LGA,DCA,0,
0,UA,2,850,LGA,IAD,0,
0,US,2,629,LGA,DCA,0,
0,US,2,657,LGA,DCA,0,
0,US,2,758,LGA,DCA,0,
0,US,2,858,LGA,DCA,0,
0,US,2,1000,LGA,DCA,0,
0,US,2,1056,LGA,DCA,0,
0,US,2,1158,LGA,DCA,0,
0,US,2,1259,LGA,DCA,0,
0,US,2,1357,LGA,DCA,0,
0,US,2,1458,LGA,DCA,0,
0,US,2,1557,LGA,DCA,0,
0,US,2,1657,LGA,DCA,0,
0,US,2,1758,LGA,DCA,0,
0,US,2,1855,LGA,DCA,0,
0,US,2,1958,LGA,DCA,0,
0,US,2,2104,LGA,DCA,0,
0,RU,2,1451,EWR,BWI,0,
1,RU,2,1729,EWR,BWI,0,
0,RU,2,658,EWR,BWI,0,
0,RU,2,1037,EWR,BWI,0,
1,CO,2,1740,EWR,DCA,0,
0,CO,2,1256,EWR,DCA,0,
1,CO,2,1856,EWR,DCA,0,
0,CO,2,727,EWR,DCA,0,
0,DH,2,847,EWR,IAD,0,
0,DH,2,1705,EWR,IAD,0,
0,DH,2,1236,EWR,IAD,0,
0,DH,2,2118,EWR,IAD,0,
0,DH,2,1435,EWR,IAD,0,
0,DH,2,622,EWR,IAD,0,
1,RU,2,2222,EWR,DCA,0,
0,RU,2,859,EWR,DCA,0,
1,RU,2,1901,EWR,IAD,0,
0,RU,2,1457,EWR,IAD,0,
0,RU,2,656,EWR,IAD,0,
1,RU,2,1644,EWR,DCA,0,
0,RU,2,1253,EWR,IAD,0,
0,RU,2,1356,EWR,DCA,0,
0,RU,2,1656,EWR,IAD,0,
0,RU,2,1627,EWR,DCA,0,
0,RU,2,644,EWR,DCA,0,
0,OH,3,1455,JFK,BWI,0,
0,DH,3,1639,JFK,DCA,0,
0,DH,3,1306,LGA,IAD,0,
0,DH,3,1445,LGA,IAD,0,
1,DH,3,1813,LGA,IAD,0,
0,DH,3,640,LGA,IAD,0,
0,DH,3,1038,LGA,IAD,0,
0,DH,3,831,JFK,IAD,0,
0,DH,3,1240,JFK,IAD,0,
0,DH,3,1521,JFK,IAD,0,
0,DH,3,1638,JFK,IAD,0,
1,DH,3,1922,JFK,IAD,0,
0,DH,3,2120,JFK,IAD,0,
0,DH,3,1606,JFK,IAD,0,
0,DL,3,1501,JFK,DCA,0,
0,DL,3,631,LGA,DCA,0,
0,DL,3,831,LGA,DCA,0,
0,DL,3,932,LGA,DCA,0,
0,DL,3,1030,LGA,DCA,0,
0,DL,3,1131,LGA,DCA,0,
0,DL,3,1231,LGA,DCA,0,
0,DL,3,1329,LGA,DCA,0,
0,DL,3,1430,LGA,DCA,0,
0,DL,3,1528,LGA,DCA,0,
0,DL,3,1629,LGA,DCA,0,
0,DL,3,1728,LGA,DCA,0,
0,DL,3,1828,LGA,DCA,0,
0,DL,3,1927,LGA,DCA,0,
0,DL,3,2030,LGA,DCA,0,
0,MQ,3,1530,JFK,DCA,0,
0,MQ,3,555,JFK,DCA,0,
1,MQ,3,1918,JFK,DCA,0,
0,MQ,3,655,LGA,DCA,0,
0,MQ,3,746,LGA,DCA,0,
0,MQ,3,854,LGA,DCA,0,
0,MQ,3,1056,LGA,DCA,0,
0,MQ,3,1256,LGA,DCA,0,
0,MQ,3,1352,LGA,DCA,0,
1,MQ,3,1457,LGA,DCA,0,
1,MQ,3,1624,LGA,DCA,0,
1,MQ,3,2014,LGA,DCA,0,
0,UA,3,849,LGA,IAD,0,
0,US,3,628,LGA,DCA,0,
0,US,3,658,LGA,DCA,0,
0,US,3,757,LGA,DCA,0,
0,US,3,857,LGA,DCA,0,
0,US,3,956,LGA,DCA,0,
0,US,3,1058,LGA,DCA,0,
0,US,3,1157,LGA,DCA,0,
0,US,3,1256,LGA,DCA,0,
0,US,3,1354,LGA,DCA,0,
1,US,3,1457,LGA,DCA,0,
1,US,3,1600,LGA,DCA,0,
0,US,3,1656,LGA,DCA,0,
0,US,3,1758,LGA,DCA,0,
0,US,3,1859,LGA,DCA,0,
1,US,3,1959,LGA,DCA,0,
0,US,3,2054,LGA,DCA,0,
0,RU,3,659,EWR,BWI,0,
0,RU,3,1459,EWR,BWI,0,
1,RU,3,1920,EWR,BWI,0,
1,RU,3,1044,EWR,BWI,0,
0,CO,3,1255,EWR,DCA,0,
1,CO,3,1948,EWR,DCA,0,
1,CO,3,1813,EWR,DCA,0,
0,CO,3,728,EWR,DCA,0,
0,DH,3,840,EWR,IAD,0,
0,DH,3,1725,EWR,IAD,0,
1,DH,3,1320,EWR,IAD,0,
0,DH,3,2117,EWR,IAD,0,
0,DH,3,624,EWR,IAD,0,
0,DH,3,1439,EWR,IAD,0,
0,RU,3,1352,EWR,DCA,0,
1,RU,3,731,EWR,IAD,0,
1,RU,3,1457,EWR,IAD,0,
0,RU,3,856,EWR,DCA,0,
0,RU,3,1254,EWR,IAD,0,
0,RU,3,1654,EWR,IAD,0,
1,RU,3,1955,EWR,IAD,0,
0,RU,3,641,EWR,DCA,0,
0,RU,3,2058,EWR,DCA,0,
0,RU,3,1521,EWR,DCA,0,
0,RU,3,1629,EWR,DCA,0,
0,OH,4,1455,JFK,BWI,0,
1,DH,4,1640,JFK,DCA,0,
0,DH,4,1245,LGA,IAD,0,
1,DH,4,1706,LGA,IAD,0,
1,DH,4,1710,LGA,IAD,0,
1,DH,4,2151,LGA,IAD,0,
0,DH,4,648,LGA,IAD,0,
0,DH,4,1036,LGA,IAD,0,
0,DH,4,852,JFK,IAD,0,
0,DH,4,1237,JFK,IAD,0,
0,DH,4,1449,JFK,IAD,0,
0,DH,4,1639,JFK,IAD,0,
0,DH,4,1714,JFK,IAD,0,
0,DH,4,2135,JFK,IAD,0,
0,DH,4,1609,JFK,IAD,0,
1,DL,4,1601,JFK,DCA,0,
0,DL,4,628,LGA,DCA,0,
0,DL,4,728,LGA,DCA,0,
0,DL,4,828,LGA,DCA,0,
0,DL,4,931,LGA,DCA,0,
0,DL,4,1030,LGA,DCA,0,
0,DL,4,1129,LGA,DCA,0,
0,DL,4,1231,LGA,DCA,0,
0,DL,4,1328,LGA,DCA,0,
0,DL,4,1430,LGA,DCA,0,
0,DL,4,1533,LGA,DCA,0,
0,DL,4,1630,LGA,DCA,0,
0,DL,4,1731,LGA,DCA,0,
0,DL,4,1833,LGA,DCA,0,
0,DL,4,1928,LGA,DCA,0,
0,DL,4,2027,LGA,DCA,0,
0,MQ,4,1524,JFK,DCA,0,
0,MQ,4,552,JFK,DCA,0,
0,MQ,4,1844,JFK,DCA,0,
0,MQ,4,722,LGA,DCA,0,
0,MQ,4,759,LGA,DCA,0,
0,MQ,4,856,LGA,DCA,0,
0,MQ,4,1050,LGA,DCA,0,
0,MQ,4,1256,LGA,DCA,0,
0,MQ,4,1353,LGA,DCA,0,
0,MQ,4,1457,LGA,DCA,0,
0,MQ,4,1557,LGA,DCA,0,
0,MQ,4,1852,LGA,DCA,0,
0,UA,4,848,LGA,IAD,0,
0,US,4,627,LGA,DCA,0,
0,US,4,658,LGA,DCA,0,
0,US,4,756,LGA,DCA,0,
0,US,4,856,LGA,DCA,0,
0,US,4,958,LGA,DCA,0,
0,US,4,1057,LGA,DCA,0,
0,US,4,1157,LGA,DCA,0,
0,US,4,1259,LGA,DCA,0,
0,US,4,1408,LGA,DCA,0,
0,US,4,1457,LGA,DCA,0,
0,US,4,1557,LGA,DCA,0,
1,US,4,1733,LGA,DCA,0,
0,US,4,1758,LGA,DCA,0,
1,US,4,1916,LGA,DCA,0,
1,US,4,2031,LGA,DCA,0,
0,US,4,2059,LGA,DCA,0,
0,RU,4,1739,EWR,BWI,0,
0,RU,4,1456,EWR,BWI,0,
0,RU,4,1026,EWR,BWI,0,
0,RU,4,655,EWR,BWI,0,
0,CO,4,1728,EWR,DCA,0,
0,CO,4,734,EWR,DCA,0,
0,CO,4,1255,EWR,DCA,0,
0,CO,4,1854,EWR,DCA,0,
0,DH,4,838,EWR,IAD,0,
0,DH,4,1706,EWR,IAD,0,
0,DH,4,1241,EWR,IAD,0,
0,DH,4,2120,EWR,IAD,0,
0,DH,4,622,EWR,IAD,0,
0,DH,4,1421,EWR,IAD,0,
0,RU,4,1452,EWR,IAD,0,
0,RU,4,1857,EWR,IAD,0,
